project,duration
activemq-artemis_6fbafc4,34.91
Activiti_0d83e98,5.12
Activity-3d624a5-buggy,6.73
aries-jpa_7712046,0.28
async-http-client_86948f6,2.41
avro_a7a43da,10.02
Bears-121-buggy,7.52
Bears-17-buggy,4.52
Bears-180-buggy,0.26
Bears-184-buggy,0.79
Bears-188-buggy,0.16
Bears-189-buggy,0.53
Bears-196-buggy,1.3
Bears-200-buggy,8.29
Bears-222-buggy,2.38
Bears-249-buggy,3.08
Bears-32-buggy,4.39
Bears-46-buggy,4.77
Bears-56-buggy,4.4
Bears-88-buggy,4.26
caelum-stella-2d2dd9c-buggy,0.85
caelum-stella-2ec5459-buggy,0.72
caelum-stella-e73113f-buggy,0.81
chart-13,4.21
chart-14,4.3
chart-15,5
chart-16,5.27
chart-17,4.65
chart-18,4.87
chart-2,5
chart-22,4.44
chart-24,4.44
chart-25,4.44
chart-26,4.09
chart-4,5.57
chart-5,5.74
chart-9,4.16
checkstyle-536bc20-buggy,7.29
checkstyle-8381754-buggy,7.29
checkstyle-aa829d4-buggy,6.96
checkstyle-aaf606e-buggy,7
client_java_422e3b3,0.98
closure-108,25.75
closure-125,22.3
closure-133,20.63
closure-19,21.16
closure-2,27.04
closure-27,22.86
closure-34,24.94
closure-37,22.28
closure-40,21.78
closure-53,21.48
closure-55,21.77
closure-58,22.83
closure-79,7.66
collections-39,2.27
commons-bcel_1faf7d9,4.7
commons-collections_a270ff6,2.18
commons-configuration_746821e,1.52
commons-dbcp_b137fda,0.83
commons-io_1ac7bef,0.91
commons-pool_41f4e41,0.78
cxf_ae805e6,35.55
cxf_aebfb0d,34.8
DataflowJavaSDK-c06125d-buggy,7.82
directory-ldap-api_3c6a765,23.7
dubbo-hessian-lite_5526dd8,3.65
easy-rules_72d7bff,0.29
error-prone-370938-buggy,2.33
fastjson_7c05c6f,3.33
feign_cf31cd1,0.94
felix-4960,2.37
felix-5464,0.96
HikariCP-ce4ff92-buggy,0.76
httpcomponents-client_65c6c25,10.62
httpcomponents-client_bf1822c,2.68
httpcomponents-core_a63b121,2.33
incubator-hivemall_e86815a,1.95
iotdb_97ca7e0,53.12
Java-WebSocket_51b63a2,0.63
javapoet-70b38e5-buggy,0.9
javaslang-faf9ac2-buggy,0.68
Jest_93f3c48,0.6
johnzon_8b5c87d,1.53
jongo-f46f658-buggy,0.27
jsoup_1d663ee,3.35
jsoup_8808e3f,3.05
jspwiki_bdab6f2,2.29
JSqlParser_2897935,6.16
karaf_5965290,5.38
lang-1,1.83
lang-12,1.83
lang-13,1.77
lang-16,1.84
lang-19,1.84
lang-20,1.02
lang-27,1.6
lang-33,1
lang-37,1.6
lang-39,0.93
lang-43,0.9
lang-44,1.1
lang-45,0.9
lang-47,0.95
lang-5,1.67
lang-51,0.99
lang-54,1.03
lang-56,0.95
lang-57,0.9
lang-58,1.01
lang-59,1.07
lang-6,1.71
logging-log4j2_147f78c,11.24
logging-log4j2_2d266d9,9.04
logging-log4j2_cd881ce,8.45
logging-log4j2_d1c02ee,11.21
math-1,6.17
math-100,1.16
math-101,1.16
math-103,1.05
math-13,4.44
math-14,4.65
math-28,4.81
math-3,5.81
math-31,4.33
math-32,4.32
math-38,4.18
math-4,5.39
math-40,4.2
math-49,3.8
math-58,2.39
math-61,2.53
math-70,2.13
math-78,3.07
math-79,3.05
math-8,5.71
math-81,3.09
math-85,3.38
math-89,2.29
math-90,2.37
math-95,1.1
math-97,1.12
math-98,1.16
maven-doxia_16836d8,3.81
maven-release_6b1f658,1.64
maven-surefire_08163fa,5.07
mockito-1,0.76
mockito-10,0.67
mockito-12,0.52
mockito-16,0.53
mockito-21,0.76
mockito-29,0.62
mockito-34,0.6
mockito-36,0.55
mockito-38,0.51
mockito-7,0.74
mockito-8,0.72
mockito-9,0.76
ninja_3e73cb8,0.71
nutz_bbd28db,3
nutz_c8a9e83,4.34
opengrok_6a95adb,3.66
opennlp_cb6ee2c,7.89
OpenPDF_07ecaaf,6.04
pdfbox_bdab232,8.05
pdfbox-2266,5.85
pdfbox-2477,1.05
pdfbox-2812,6.33
pdfbox-2948,5.63
pdfbox-2951,5.76
pdfbox-2965,5.59
pdfbox-2995,5.59
pdfbox-3479,6.17
pdfbox-3572,6.5
picocli_758f4c0,2.66
qpid-proton-j_6422e24,3.82
qpid-proton-j_87ec94b,3.93
rocketmq_03c1f11,10.64
shardingsphere_48237c8,29.69
shardingsphere_52b0150,37.84
shardingsphere_e46f68d,35.98
shiro_3ca513f,1.61
sling-4982,0.25
sling-6487,0.27
sling-org-apache-sling-pipes_674819d,0.25
spring-hateoas-48749e7-buggy,0.91
tablesaw_65596d8,7.85
time-18,3.25
time-2,3.47
time-20,3.28
time-27,3.06
time-5,3.23
time-7,3.34
time-8,3.67
truth-99b314e-buggy,0.22
xmlgraphics-fop_62ff114,41.98
xmlgraphics-fop_991b446,30.37
zookeeper_e41cac8,2.8
